Expression	Familiarity	Transparency	MC_Correct
iemand het hemd van het lijf vragen	3.88	3.88	0.91
aan de bak komen	3.9	3.1	1
lood in de schoenen hebben	3.9	3.67	0.95
om de tafel gaan zitten met iemand	3.9	4.35	1
ergens een potje van maken	3.93	2.67	1
voet bij stuk houden	3.94	2.71	1
met beide benen op de grond staan	3.96	3.09	1
iemand in een hokje plaatsen	3.96	4.22	1
een gat in je hand hebben	3.97	3	1
het bij het verkeerde eind hebben	3.97	4.06	0.97
naast zijn schoenen lopen	4	2.35	0.94
iets op je buik kunnen schrijven	4	2.66	1
stoom afblazen	4	2.75	0.9
je ei (niet) kwijt kunnen	4	2.95	0.85
iemand zwart maken	4	3.26	1
ergens geen touw aan vast kunnen knopen	4	3.36	1
iemand op het matje roepen	4	3.45	1
roet in het eten gooien	4	3.56	1
ergens een stokje voor steken	4	3.67	1
iets van de daken schreeuwen	4	3.77	0.95
door de bomen het bos niet meer zien	4	3.86	0.95
geen cent te makken hebben	4	4	1
uit zijn slof schieten	4.03	3	0.97
de moed in de schoenen zakken	4.03	3.59	1
met de mond vol tanden staan	4.03	3.93	1
het zijn twee handen op een buik	4.04	3.54	1
iemand op de vingers tikken	4.05	3.86	1
iemand een koekje van eigen deeg geven	4.06	3.48	0.97
veel in zijn mars hebben	4.07	3	1
zijn borst nat maken	4.09	2.88	1
de draad kwijt raken/zijn	4.09	3.61	1
de mist in gaan	4.1	3.14	1
het ver schoppen	4.1	3.35	1
oude koeien uit de sloot halen	4.1	3.45	0.97
om je vingers bij af te likken	4.1	3.48	1
op het puntje van de tong liggen	4.1	3.52	1
stevig in zijn schoenen staan	4.1	3.86	1
iemand een hart onder de riem steken	4.13	3	1
de touwtjes in handen hebben	4.13	3.75	1
het loodje leggen	4.14	2.89	0.96
iemand uit de brand helpen	4.14	4.09	1
te veel hooi op zijn vork nemen	4.14	4.21	1
dat gaat boven mijn pet	4.15	2.94	0.94
de kat uit de boom kijken	4.16	3.66	1
iemand aan het lijntje houden	4.17	3.04	0.74
iets boven tafel krijgen	4.17	3.07	0.97
buiten westen zijn	4.17	3.3	1
de sterren van de hemel spelen	4.17	3.37	1
iets onder de knie hebben/krijgen	4.19	2.48	1
door de mand vallen	4.19	2.77	1
het zit tussen de oren	4.21	3.76	0.9
in het geld zwemmen	4.21	4.25	1
met een schone lei beginnen	4.22	3.72	1
iets komt voor de bakker	4.23	2.7	1
voor iemand door het vuur gaan	4.23	4.18	1
van de hak op de tak springen	4.25	3.54	1
zich uit de naad werken	4.25	3.64	1
iemand in het zonnetje zetten	4.25	4.15	1
je gezicht laten zien	4.25	4.3	0.95
het klopt als een bus	4.26	3.13	1
in de put zitten	4.26	3.16	0.97
in de soep lopen	4.27	2.76	1
iets door de vingers zien	4.27	3.5	1
het ijs breken	4.29	2.86	1
niet door de beugel kunnen	4.29	3.03	1
het niet breed hebben	4.29	3.24	1
de handen uit de mouwen steken	4.29	3.9	1
van de kaart zijn	4.3	2.83	0.8
ergens een punt achter zetten	4.32	4.32	1
onder de wol kruipen	4.33	4.33	1
iets op prijs stellen	4.34	3.72	1
alles uit de kast halen	4.34	3.75	1
te diep in het glaasje kijken	4.36	3.73	1
iets uit je duim zuigen	4.38	3.21	1
uit zijn dak gaan	4.39	3.33	0.91
een gat in de lucht springen	4.39	3.76	0.97
elkaar in de haren vliegen	4.39	4	1
met de hakken over de sloot	4.4	3.73	0.97
de eerste stap zetten	4.4	4.4	0.95
voor spek en bonen	4.42	2.39	0.61
in de wolken zijn	4.43	3.24	1
met geld smijten	4.43	4.43	1
aan de slag gaan met iets	4.45	3.45	1
oogje in het zeil houden	4.45	3.55	1
een uur in de wind stinken	4.46	4.29	1
een kort lontje hebben	4.48	4.14	1
door het lint gaan	4.5	3.33	1
iemand in de steek laten	4.5	3.38	0.97
zich in de nesten werken	4.52	3.15	0.97
voor aap staan	4.52	3.22	1
iemand in de maling nemen	4.52	3.29	1
iemand voor geen cent vertrouwen	4.52	4.42	1
van streek zijn	4.57	2.73	1
iets over het hoofd zien	4.57	3.83	1
