Idiom	Frequency	Familiarity
met geld smijten	4.65	4.43
aan de slag gaan met iets	4.74	4.45
oogje in het zeil houden	4.45	4.45
een uur in de wind stinken	4.13	4.46
een kort lontje hebben	4.76	4.48
door het lint gaan	4.53	4.5
iemand in de steek laten	4.66	4.5
zich in de nesten werken	4.64	4.52
voor aap staan	4.7	4.52
iemand in de maling nemen	4.81	4.52
iemand voor geen cent vertrouwen	4.61	4.52
van streek zijn	4.67	4.57
iets over het hoofd zien	4.83	4.57
